:START_ID;:END_ID;corresponding_author:boolean;:TYPE
Jinwoo Suh;71290;True;WRITTEN_BY
Stephen P. Crago;71290;True;WRITTEN_BY
Dhruva Acharyya;71291;True;WRITTEN_BY
Jim Plusquellic;71291;True;WRITTEN_BY
Ryan Helinski;71291;True;WRITTEN_BY
Jeffrey Z. Gingerich;71292;True;WRITTEN_BY
Fahong Zhang 0004;71293;True;WRITTEN_BY
Ling Liang;71293;True;WRITTEN_BY
Qi Liu;71293;True;WRITTEN_BY
Yanheng Lu;71293;True;WRITTEN_BY
Zhaohui Chen;71293;True;WRITTEN_BY
Zhen Gu;71293;True;WRITTEN_BY
Zhirui Li;71293;True;WRITTEN_BY
Lionel Bening;71294;True;WRITTEN_BY
